author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_month;commissions;district;street;house_number;underground;residential_complex
Ирина Таранец;realtor;https://www.cian.ru/rent/flat/235466039/;Москва;rent;flat;4;9;1;33.0;40000;0;Гольяново;Алтайская ;34;Щёлковская;
Столичная Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/300667333/;Москва;rent;flat;3;12;1;34.0;40000;0;Чертаново Южное;3-й Дорожный проезд;5К2;Улица Академика Янгеля;
Алена Рудова;realtor;https://www.cian.ru/rent/flat/302507512/;Москва;rent;flat;5;5;1;33.0;40000;0;Ростокино;Малахитовая ;13К3;Ростокино;
Станислав Камов;realtor;https://www.cian.ru/rent/flat/300189048/;Москва;rent;flat;2;14;1;39.0;40000;0;Братеево;Ключевая ;10К2;Алма-Атинская;
Влада Горшкова;realtor;https://www.cian.ru/rent/flat/301633330/;Москва;rent;flat;6;17;1;37.7;40000;0;Северный;Дмитровское шоссе;165Дк1;Физтех;
Алёна Храпина;realtor;https://www.cian.ru/rent/flat/229859792/;Москва;rent;flat;13;17;1;38.0;40000;0;Чертаново Южное; Газопровод;15;Красный Строитель;
Николай Морозов;realtor;https://www.cian.ru/rent/flat/289441138/;Москва;rent;flat;3;14;1;45.0;40000;0;Очаково-Матвеевское;Большая Очаковская ;42;Озёрная;
Вероника Думанова;realtor;https://www.cian.ru/rent/flat/296363106/;Москва;rent;flat;2;9;1;36.2;40000;0;; Усадебный Парк;5;Филатов Луг;
Елена Павлова;realtor;https://www.cian.ru/rent/flat/293660649/;Москва;rent;flat;6;8;1;25.0;40000;0;Войковский; Космонавта Волкова;9/2;Войковская;
Михаил Киринчук;realtor;https://www.cian.ru/rent/flat/260108267/;Москва;rent;flat;15;16;1;39.0;40000;0;Чертаново Центральное; Красного Маяка;15К3;Пражская;
Диана Иванова;realtor;https://www.cian.ru/rent/flat/302484233/;Москва;rent;flat;16;17;1;37.0;40000;0;Левобережный;Ленинградское шоссе;122;Беломорская;
Людмила Ермакова;realtor;https://www.cian.ru/rent/flat/266828197/;Москва;rent;flat;10;17;1;40.0;40000;0;Новокосино;Городецкая ;9К1;Новокосино;
ID 15815210;unknown;https://www.cian.ru/rent/flat/302449842/;Москва;rent;flat;1;17;1;49.0;40000;0;Северное Бутово;5-й мкр;5-й мкр;Ясенево;
Александр Стебивка;realtor;https://www.cian.ru/rent/flat/302435270/;Москва;rent;flat;5;24;1;42.0;40000;0;Косино-Ухтомский;Лухмановская ;18;Лухмановская;
Фарид Бабаев;realtor;https://www.cian.ru/rent/flat/300923334/;Москва;rent;flat;7;19;1;50.0;40000;0;;;40к2;Бунинская аллея;
Светлана Фатеева;realtor;https://www.cian.ru/rent/flat/301424920/;Москва;rent;flat;2;19;1;37.5;40000;0;; Бианки;7;Рассказовка;
Выбор24;real_estate_agent;https://www.cian.ru/rent/flat/302362339/;Москва;rent;flat;4;9;1;35.0;40000;0;Коптево;Коптевская ;18к2;Коптево;
Лилия Ильина;realtor;https://www.cian.ru/rent/flat/301849275/;Москва;rent;flat;6;9;1;21.0;40000;0;Богородское;Краснобогатырская ;75К1;Преображенская площадь;
Алена Рудова;realtor;https://www.cian.ru/rent/flat/302253220/;Москва;rent;flat;10;12;1;36.0;40000;0;Выхино-Жулебино; Академика Скрябина;5К1;Рязанский проспект;
Алена Рудова;realtor;https://www.cian.ru/rent/flat/302245221/;Москва;rent;flat;1;10;1;38.0;40000;0;Южное Бутово;Скобелевская ;40;Улица Скобелевская;
Виталий Куртов;realtor;https://www.cian.ru/rent/flat/297200177/;Москва;rent;flat;5;12;1;36.5;40000;0;Косино-Ухтомский; Рудневка;15;Улица Дмитриевского;
Григорий Гаврилов;realtor;https://www.cian.ru/rent/flat/302195036/;Москва;rent;flat;5;15;1;37.0;40000;0;; Чароитовая;1к2;Коммунарка;
Олег Акулов;realtor;https://www.cian.ru/rent/flat/300115995/;Москва;rent;flat;1;5;1;30.0;40000;0;Коньково; Академика Арцимовича;5К3;Беляево;
Андрей Воробьев;realtor;https://www.cian.ru/rent/flat/191545251/;Москва;rent;flat;1;12;1;32.0;41000;0;Нагорный;Криворожская ;5К2;Нагорная;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302226204/;Москва;rent;flat;6;9;1;33.0;41000;0;Метрогородок;Открытое шоссе;17К13;Бульвар Рокоссовского;
М.Град;real_estate_agent;https://www.cian.ru/rent/flat/300821858/;Москва;rent;flat;12;14;1;35.6;41000;0;Можайский; Кутузова;5;Рабочий посёлок;
ЦДВ Инвест;real_estate_agent;https://www.cian.ru/rent/flat/274185625/;Москва;rent;flat;2;12;1;37.8;41000;0;Западное Дегунино;Ангарская ;28К2;Грачёвская;
Центр Недвижимости отделение на Таганке;real_estate_agent;https://www.cian.ru/rent/flat/302347706/;Москва;rent;flat;7;17;1;38.0;41000;0;Люблино;Люблинская ;61;Люблино;
Александр Ладочкин;realtor;https://www.cian.ru/rent/flat/302005050/;Москва;rent;flat;6;17;1;38.0;41000;0;Чертаново Южное;Россошанская ;10;Красный Строитель;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302395367/;Москва;rent;flat;4;17;1;35.0;41900;0;Южное Бутово;Варшавское шоссе;282к2;Щербинка;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302301271/;Москва;rent;flat;3;33;1;20.0;41900;0;Западное Дегунино;Базовская ;15Бк2;Грачёвская;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302301269/;Москва;rent;flat;5;20;1;19.5;41900;0;Западное Дегунино;Базовская ;15Бк1;Грачёвская;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302301268/;Москва;rent;flat;3;20;1;19.6;41900;0;Западное Дегунино;Базовская ;15Бк1;Грачёвская;
Моя Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/266816134/;Москва;rent;flat;8;12;1;37.0;42000;0;Текстильщики;Волжский бульвар;20А;Текстильщики;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302462746/;Москва;rent;flat;17;33;1;20.0;42000;0;Западное Дегунино;Ижорская ;6к1;Ховрино;
Ирина Астахова;realtor;https://www.cian.ru/rent/flat/301231324/;Москва;rent;flat;7;15;1;35.0;42000;0;; Василия Ощепкова;2;Коммунарка;
Наталья Крупина;realtor;https://www.cian.ru/rent/flat/247660599/;Москва;rent;flat;21;22;1;34.0;42000;0;Ивановское;Саянская ;7К1;Новогиреево;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302476324/;Москва;rent;flat;5;9;1;40.0;42000;0;Тимирязевский;Дмитровское шоссе;43К1;Петровско-Разумовская;
Континент-Н;real_estate_agent;https://www.cian.ru/rent/flat/276964108/;Москва;rent;flat;3;12;1;36.0;42000;0;Соколиная гора;Измайловское шоссе;33;Семёновская;
Континент-Н;real_estate_agent;https://www.cian.ru/rent/flat/247743041/;Москва;rent;flat;7;17;1;51.0;42000;0;Косино-Ухтомский; Татьяны Макаровой;3;Улица Дмитриевского;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302307074/;Москва;rent;flat;3;14;1;45.0;42000;0;Новокосино;Салтыковская ;29К2;Новокосино;
Руслан Костин;realtor;https://www.cian.ru/rent/flat/302487288/;Москва;rent;flat;9;12;1;38.0;42000;0;Западное Дегунино;Дегунинская ;13;Моссельмаш;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302142885/;Москва;rent;flat;23;25;1;20.0;42000;0;Кунцево;№ 100 кв-л;1к3;Павшино;
Татьяна Ивашнева;realtor;https://www.cian.ru/rent/flat/302483329/;Москва;rent;flat;2;9;1;33.0;42000;0;Дмитровский;Яхромская ;1А;Яхромская;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302401863/;Москва;rent;flat;1;5;1;31.0;42000;0;Царицыно; Медиков;14;Царицыно;
Светлана Женжера;realtor;https://www.cian.ru/rent/flat/302253004/;Москва;rent;flat;3;5;1;36.0;42000;0;Тимирязевский;Астрадамская ;13;Тимирязевская;
ЕГСН Аренда;real_estate_agent;https://www.cian.ru/rent/flat/296039926/;Москва;rent;flat;5;10;1;40.0;42000;0;Выхино-Жулебино;Жулебинский бульвар;10/6;Лермонтовский проспект;
ЕГСН Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301036039/;Москва;rent;flat;2;5;1;32.0;42000;0;Можайский; Гришина;1;Рабочий посёлок;
ЕГСН Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301701679/;Москва;rent;flat;4;17;1;40.0;42000;0;Метрогородок;Открытое шоссе;24К3;Бульвар Рокоссовского;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302476206/;Москва;rent;flat;8;17;1;43.0;42000;0;; Бориса Пастернака;25;Рассказовка;
ГОРОБМЕН;real_estate_agent;https://www.cian.ru/rent/flat/301159880/;Москва;rent;flat;12;15;1;38.0;42000;0;; Василия Ощепкова;4;Коммунарка;
Евразия Инвест;real_estate_agent;https://www.cian.ru/rent/flat/301543074/;Москва;rent;flat;9;12;1;34.3;42000;0;Коньково; Введенского;12К2;Беляево;
Дискавэри Бизнес Групп;real_estate_agent;https://www.cian.ru/rent/flat/264087573/;Москва;rent;flat;6;16;1;39.0;42000;0;Чертаново Центральное;Кировоградская ;19К1;Пражская;
Комти-Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/302375961/;Москва;rent;flat;13;14;1;35.0;42000;0;Гольяново;Чусовская ;11К4;Щёлковская;
Елена Седьмова;realtor;https://www.cian.ru/rent/flat/301894744/;Москва;rent;flat;15;17;1;42.0;42000;0;Кузьминки;Волгоградский проспект;138к4;Кузьминки;
Триумфальная Арка;real_estate_agent;https://www.cian.ru/rent/flat/302450572/;Москва;rent;flat;2;12;1;35.0;42000;0;Коптево;Большая Академическая ;25А;Красный Балтиец;
Вероника Плеханова;realtor;https://www.cian.ru/rent/flat/285588278/;Москва;rent;flat;7;8;1;21.2;42000;0;Таганский;Нижегородская ;32С15;Калитники;
Ирина Беленькая;realtor;https://www.cian.ru/rent/flat/301913769/;Москва;rent;flat;4;17;1;36.0;42000;0;Кунцево; Екатерины Будановой;8к2;Рабочий посёлок;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302284603/;Москва;rent;flat;4;10;1;21.0;42000;0;Лосиноостровский;Тайнинская ;9к1;Медведково;
Сити Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/302351778/;Москва;rent;flat;12;14;1;39.0;42000;0;Чертаново Северное;Северное Чертаново мкр;8к831;Чертановская;
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/301520672/;Москва;rent;flat;8;14;1;40.0;42000;0;Марьино;Донецкая ;27;Курьяново;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302401855/;Москва;rent;flat;1;9;1;23.0;42000;0;Северное Тушино;Планерная ;5К1;Планерная;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/301958581/;Москва;rent;flat;10;12;1;36.0;42000;0;Текстильщики;Грайвороновская ;14К1;Текстильщики;
Мой Дом - отделение Добрынинское;real_estate_agent;https://www.cian.ru/rent/flat/301570279/;Москва;rent;flat;2;8;1;45.0;42000;0;Нагатино-Садовники;Старокаширское шоссе;2к5;Варшавская;
Парус;real_estate_agent;https://www.cian.ru/rent/flat/302377396/;Москва;rent;flat;9;9;1;45.0;42000;0;Чертаново Южное;Россошанская ;9К3;Улица Академика Янгеля;
Юлия Мажирина;realtor;https://www.cian.ru/rent/flat/302361978/;Москва;rent;flat;9;17;1;38.0;42000;0;Выхино-Жулебино;Самаркандский бульвар;12;Юго-Восточная;
Гаяна Мелконян;realtor;https://www.cian.ru/rent/flat/301387989/;Москва;rent;flat;4;9;1;39.2;42000;0;; Усадебный Парк;5;Филатов Луг;
Михаил Мальцев;realtor;https://www.cian.ru/rent/flat/302316841/;Москва;rent;flat;5;9;1;22.0;42000;0;Щукино; Расплетина;3К3;Октябрьское поле;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302302989/;Москва;rent;flat;15;16;1;43.0;42000;0;Ярославский;Ярославское шоссе;34;ВДНХ;
Central-arenda;real_estate_agent;https://www.cian.ru/rent/flat/288314139/;Москва;rent;flat;10;12;1;14.0;42000;0;Проспект Вернадского;проспект Вернадского;41С1;Проспект Вернадского;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/301155720/;Москва;rent;flat;13;20;1;20.0;42000;0;Текстильщики;1-й Грайвороновский проезд;11к2;Текстильщики;
КапиталЪ;real_estate_agent;https://www.cian.ru/rent/flat/296574111/;Москва;rent;flat;11;16;1;43.5;42000;0;Ярославский;Ярославское шоссе;34;Ростокино;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302022679/;Москва;rent;flat;1;5;1;29.0;42000;0;Свиблово;Снежная ;17К1;Свиблово;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/300283835/;Москва;rent;flat;12;15;1;19.0;42000;0;Южное Медведково;Полярная ;27к2;Медведково;
Юлиан Королев;realtor;https://www.cian.ru/rent/flat/302216999/;Москва;rent;flat;5;19;1;37.6;42000;0;Некрасовка;Покровская ;21;Некрасовка;
МК-Град;real_estate_agent;https://www.cian.ru/rent/flat/300604209/;Москва;rent;flat;7;9;1;41.0;42000;0;; Александры Монаховой;89к1;Бунинская аллея;
TOP FLAT;real_estate_agent;https://www.cian.ru/rent/flat/255976383/;Москва;rent;flat;3;17;1;41.5;42000;0;;;20;Ольховая;
Ирина Еремкина;realtor;https://www.cian.ru/rent/flat/294543737/;Москва;rent;flat;7;13;1;36.7;42000;0;Текстильщики; Шкулева;5К1;Печатники;
Марина Гончарова;realtor;https://www.cian.ru/rent/flat/281037011/;Москва;rent;flat;5;9;1;33.0;42000;0;Коньково;Профсоюзная ;88/20;Беляево;
Эльмира Алаева;realtor;https://www.cian.ru/rent/flat/301987495/;Москва;rent;flat;7;8;1;32.0;42000;0;Левобережный;Прибрежный проезд;8;Беломорская;
Яна Минка;realtor;https://www.cian.ru/rent/flat/302278882/;Москва;rent;flat;2;4;1;40.0;42000;0;; Потаповская Роща;5к1;Бунинская аллея;
ID 57495378;unknown;https://www.cian.ru/rent/flat/302255156/;Москва;rent;flat;3;17;1;38.0;42000;0;Новокосино;Городецкая ;9К1;Новокосино;
Марина Захарченко;realtor;https://www.cian.ru/rent/flat/302158502/;Москва;rent;flat;6;15;1;34.1;43000;0;; Аэростатная;12к3;Крёкшино;
Наталия Светлова;realtor;https://www.cian.ru/rent/flat/302362929/;Москва;rent;flat;6;17;1;37.0;43000;0;Марьино;Батайский проезд;51;;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302483193/;Москва;rent;flat;1;9;1;38.0;43000;0;Левобережный;Фестивальная ;15К3;Речной вокзал;
EstateLiga;real_estate_agent;https://www.cian.ru/rent/flat/301699355/;Москва;rent;flat;7;19;1;44.0;43000;0;; Бачуринская;22к2;Коммунарка;
ПАРТНЕР;real_estate_agent;https://www.cian.ru/rent/flat/302502597/;Москва;rent;flat;17;27;1;40.0;43000;0;Некрасовка;Рождественская ;33;Некрасовка;
Столичный Проспект;real_estate_agent;https://www.cian.ru/rent/flat/299583101/;Москва;rent;flat;4;9;1;34.0;43000;0;Даниловский;Дубининская ;65К2;Серпуховская;
Елена Мойса;realtor;https://www.cian.ru/rent/flat/302463218/;Москва;rent;flat;4;25;1;38.0;43000;0;Чертаново Северное;Северное Чертаново мкр;5кВ;Чертановская;
Олеся Фадеева;realtor;https://www.cian.ru/rent/flat/301786980/;Москва;rent;flat;8;20;1;40.0;43000;0;; Родниковая;9Ак5;Саларьево;
Елена Круглова;realtor;https://www.cian.ru/rent/flat/299296193/;Москва;rent;flat;3;16;1;37.0;43000;0;Строгино;Таллинская ;12;Строгино;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302346243/;Москва;rent;flat;6;9;1;40.0;43000;0;Ростокино;проспект Мира;190;Ростокино;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302283118/;Москва;rent;flat;8;12;1;44.0;43000;0;Южное Медведково;Заповедная ;4;Свиблово;
DAYCOME;real_estate_agent;https://www.cian.ru/rent/flat/301649936/;Москва;rent;flat;3;5;1;41.0;43000;0;Марфино;Ботаническая ;33К6;Окружная;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302188777/;Москва;rent;flat;1;17;1;43.0;43000;0;Чертаново Северное;Балаклавский проспект;3;Чертановская;
Столичный Град;real_estate_agent;https://www.cian.ru/rent/flat/302136532/;Москва;rent;flat;7;17;1;38.0;43000;0;Братеево;Ключевая ;12К1;Алма-Атинская;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302401892/;Москва;rent;flat;1;17;1;38.0;43000;0;Чертаново Северное;Балаклавский проспект;3;Чертановская;
Самолет Плюс;real_estate_agent;https://www.cian.ru/rent/flat/302479466/;Москва;rent;flat;9;12;1;35.1;43000;0;Царицыно; Медиков;1/1К3;Кантемировская;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302451957/;Москва;rent;flat;8;8;1;15.0;43000;0;Западное Дегунино;Дмитровское шоссе;81;Селигерская;
ИНКОМ-Недвижимость. Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301429468/;Москва;rent;flat;3;3;1;42.0;43000;0;; Харлампиева;22к2;Филатов Луг;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/301731296/;Москва;rent;flat;6;12;1;40.0;43000;0;Кузьминки;Юго-Восточный ао;к3;Кузьминки;
Монолит Столица;real_estate_agent;https://www.cian.ru/rent/flat/302248815/;Москва;rent;flat;10;17;1;39.0;43000;0;Некрасовка;проспект Защитников Москвы;3к1;Некрасовка;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302407677/;Москва;rent;flat;8;23;1;40.0;43000;0;Косино-Ухтомский;Лухмановская ;11;Лухмановская;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302286808/;Москва;rent;flat;8;23;1;20.0;43000;0;Косино-Ухтомский;Салтыковская ;6/2к3;Новокосино;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302401846/;Москва;rent;flat;4;12;1;35.0;43000;0;Нижегородский;Нижегородская ;88К2;Нижегородская;
YU HOME;real_estate_agent;https://www.cian.ru/rent/flat/302435731/;Москва;rent;flat;24;24;1;40.0;43000;0;Митино;Муравская ;44к2;Пятницкое шоссе;
Роман Мишин;realtor;https://www.cian.ru/rent/flat/294689093/;Москва;rent;flat;4;5;1;30.0;43000;0;Зюзино;Болотниковская ;46К3;Нахимовский проспект;
Наталья Полякова;realtor;https://www.cian.ru/rent/flat/301651810/;Москва;rent;flat;6;17;1;40.0;43000;0;Ховрино;Клинская ;10К2;Грачёвская;
Градсити;real_estate_agent;https://www.cian.ru/rent/flat/302424960/;Москва;rent;flat;8;10;1;38.0;43000;0;Выхино-Жулебино;Жулебинский бульвар;14;Лермонтовский проспект;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/300972831/;Москва;rent;flat;4;5;1;20.0;43000;0;Кузьминки;Окская ;28К3;Кузьминки;
Лана Бубнова;realtor;https://www.cian.ru/rent/flat/302330214/;Москва;rent;flat;5;17;1;39.0;43000;0;Восточное Дегунино; 800-летия Москвы;26К2;Бескудниково;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302349204/;Москва;rent;flat;3;5;1;22.0;43000;0;Очаково-Матвеевское;Рябиновая ;45К2;Озёрная;
Татьяна Шипилова;realtor;https://www.cian.ru/rent/flat/301962821/;Москва;rent;flat;5;5;1;31.7;43000;0;Зюзино;Азовская ;8;Нахимовский проспект;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302340363/;Москва;rent;flat;9;12;1;35.0;43000;0;Головинский;Зеленоградская ;7;Моссельмаш;
На Петровке;real_estate_agent;https://www.cian.ru/rent/flat/301655012/;Москва;rent;flat;10;12;1;37.0;43000;0;;проспект Куприна;34к2;Бунинская аллея;
Hauswirt;real_estate_agent;https://www.cian.ru/rent/flat/302203776/;Москва;rent;flat;3;12;1;39.0;43000;0;Бирюлево Восточное;Бирюлевская ;49К2;Царицыно;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/302070964/;Москва;rent;flat;12;24;1;20.0;43000;0;Косино-Ухтомский;Салтыковская ;6/1к6;Новокосино;
Prime Estate;real_estate_agent;https://www.cian.ru/rent/flat/301931313/;Москва;rent;flat;13;22;1;40.0;43000;0;Отрадное;Высоковольтный проезд;1к6;Бибирево;
Моя Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/256796990/;Москва;rent;flat;9;9;1;40.0;43000;0;Зябликово;Шипиловская ;58К3;Шипиловская;
Хозяин Сервис;real_estate_agent;https://www.cian.ru/rent/flat/301027075/;Москва;rent;flat;11;16;1;37.0;43000;0;Северное Измайлово;15-я Парковая ;45;Щёлковская;
ГЕРМЕС;real_estate_agent;https://www.cian.ru/rent/flat/287386699/;Москва;rent;flat;8;9;1;30.4;43000;0;Текстильщики; Юных Ленинцев;7;Текстильщики;
Илья Алехин;realtor;https://www.cian.ru/rent/flat/302494345/;Москва;rent;flat;1;17;1;38.0;43000;0;Чертаново Северное;Балаклавский проспект;3;Чертановская;
Ольга Щербакова;realtor;https://www.cian.ru/rent/flat/302464177/;Москва;rent;flat;7;14;1;36.0;43000;0;;бульвар Скандинавский;5к1;Коммунарка;
София Погосова;realtor;https://www.cian.ru/rent/flat/275141935/;Москва;rent;flat;20;24;1;42.0;43000;0;Люблино;Люблинская ;76к5;Братиславская;
Елена Филиппенко;realtor;https://www.cian.ru/rent/flat/291907816/;Москва;rent;flat;7;17;1;39.0;43000;0;Ховрино;Зеленоградская ;27К2;Ховрино;
Василий Прохорченко;realtor;https://www.cian.ru/rent/flat/299504839/;Москва;rent;flat;3;5;1;32.0;43000;0;Перово; Плющева;5К2;Перово;
Галина Кузовенкова;realtor;https://www.cian.ru/rent/flat/301246020/;Москва;rent;flat;5;7;1;45.0;43000;0;; Медовая Долина;3к2;Санино;
Дмитрий Мельников;realtor;https://www.cian.ru/rent/flat/297717240/;Москва;rent;flat;4;16;1;38.2;43000;0;Зябликово; Мусы Джалиля;23/56;Шипиловская;
Ольга Ливадина;realtor;https://www.cian.ru/rent/flat/294030153/;Москва;rent;flat;15;25;1;23.0;43999;0;; Саларьевская;10к1;Саларьево;
Столичный Проспект;real_estate_agent;https://www.cian.ru/rent/flat/301616218/;Москва;rent;flat;8;19;1;41.0;44000;0;Некрасовка;Покровская ;17к1;Некрасовка;
DAYCOME;real_estate_agent;https://www.cian.ru/rent/flat/302478885/;Москва;rent;flat;5;9;1;34.0;44000;0;Тимирязевский;Дмитровское шоссе;43К1;Петровско-Разумовская;
Левченко-реалти;real_estate_agent;https://www.cian.ru/rent/flat/302475244/;Москва;rent;flat;10;12;1;38.0;44000;0;Бибирево;Мурановская ;6;Алтуфьево;
Белый Город;real_estate_agent;https://www.cian.ru/rent/flat/301293110/;Москва;rent;flat;7;24;1;40.3;44000;0;Бирюлево Восточное;Ягодная ;8к2;Царицыно;
ПИК-Аренда;real_estate_agent;https://www.cian.ru/rent/flat/302379119/;Москва;rent;flat;18;25;1;42.0;44000;0;Люблино;Люблинская ;74к3;Перерва;
Вадим Соломин;realtor;https://www.cian.ru/rent/flat/302251117/;Москва;rent;flat;14;17;1;40.0;44000;0;Некрасовка;Рождественская ;23/33;Некрасовка;
Елена Гончарова;realtor;https://www.cian.ru/rent/flat/237108486/;Москва;rent;flat;17;17;1;40.0;44000;0;; Самуила Маршака;4;Рассказовка;
МИР-Н;real_estate_agent;https://www.cian.ru/rent/flat/302342405/;Москва;rent;flat;9;12;1;34.7;44000;0;Головинский;Зеленоградская ;7;Моссельмаш;
Юлия Ефремова;realtor;https://www.cian.ru/rent/flat/302248969/;Москва;rent;flat;12;14;1;38.0;44000;0;Южное Тушино;проезд Донелайтиса;12К1;Трикотажная;
Capital Mars;real_estate_agent;https://www.cian.ru/rent/flat/301226030/;Москва;rent;flat;3;3;1;22.0;44000;0;Головинский;Солнечногорский проезд;17;Моссельмаш;
Лана Бубнова;realtor;https://www.cian.ru/rent/flat/302212587/;Москва;rent;flat;5;17;1;40.0;44000;0;Некрасовка;проспект Защитников Москвы;10;Некрасовка;
МосСделка;real_estate_agent;https://www.cian.ru/rent/flat/301117183/;Москва;rent;flat;18;24;1;28.0;44000;0;Митино;Муравская ;46к2;Пятницкое шоссе;
Слава Киршина;realtor;https://www.cian.ru/rent/flat/279573440/;Москва;rent;flat;2;14;1;38.0;44000;0;Восточное Дегунино;Керамический проезд;49К1;Дегунино;
ID 84468255;homeowner;https://www.cian.ru/rent/flat/294196670/;Москва;rent;flat;5;16;1;42.0;44000;0;Северный;Долгопрудная аллея;15к2;Долгопрудная;
Симфония Недвижимости;real_estate_agent;https://www.cian.ru/rent/flat/302313192/;Москва;rent;flat;15;15;1;40.0;44900;0;Чертаново Северное;Северное Чертаново мкр;4к405;Чертановская;
Этажи Москва;real_estate_agent;https://www.cian.ru/rent/flat/302486425/;Москва;rent;flat;9;17;1;39.0;44500;0;;бульвар Скандинавский;12;Потапово;
EMPIRE HOME;real_estate_agent;https://www.cian.ru/rent/flat/301715858/;Москва;rent;flat;1;5;1;30.0;44500;0;Текстильщики;Люблинская ;11С2;Текстильщики;
Дмитрий Ведров;realtor;https://www.cian.ru/rent/flat/199257951/;Москва;rent;flat;3;14;1;50.0;44990;0;;;8;Бунинская аллея;
ИНКОМ-Недвижимость. Аренда;real_estate_agent;https://www.cian.ru/rent/flat/301718680/;Москва;rent;flat;9;17;1;40.0;45000;0;Северный;Челобитьевское шоссе;12к2;Физтех;
Диалог;real_estate_agent;https://www.cian.ru/rent/flat/302508635/;Москва;rent;flat;9;20;1;33.0;45000;0;Теплый Стан; Академика Виноградова;5;Тёплый Стан;
Моя Недвижимость;real_estate_agent;https://www.cian.ru/rent/flat/266341388/;Москва;rent;flat;3;9;1;35.0;45000;0;Отрадное; Бестужевых;12А;Отрадное;
Александр Георгиевич Бражников;realtor;https://www.cian.ru/rent/flat/227323338/;Москва;rent;flat;1;9;1;34.0;45000;0;Орехово-Борисово Северное;Шипиловская ;6К2;Орехово;
The IMPERIUM;real_estate_agent;https://www.cian.ru/rent/flat/302193367/;Москва;rent;flat;6;22;1;40.0;45000;0;Митино;Муравская ;42к1;Пятницкое шоссе;
DAYCOME;real_estate_agent;https://www.cian.ru/rent/flat/302505446/;Москва;rent;flat;5;17;1;38.0;45000;0;Ново-Переделкино;Лукинская ;18;Новопеределкино;
Ирина Крыгина;realtor;https://www.cian.ru/rent/flat/302503380/;Москва;rent;flat;3;17;1;38.0;45000;0;Свиблово;проезд Нансена;5;Свиблово;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302400983/;Москва;rent;flat;2;14;1;40.0;45000;0;Вешняки; Молдагуловой;12К1;Выхино;
БРАЙТХОУМ;real_estate_agent;https://www.cian.ru/rent/flat/302267293/;Москва;rent;flat;9;14;1;38.0;45000;0;Кунцево;Истринская ;10К2;Кунцевская;
YU HOME;real_estate_agent;https://www.cian.ru/rent/flat/302358513/;Москва;rent;flat;6;25;1;44.0;45000;0;; Авиаконструктора Петлякова;31;Пыхтино;
MY HOME;real_estate_agent;https://www.cian.ru/rent/flat/302478633/;Москва;rent;flat;2;17;1;47.0;45000;0;Отрадное; Декабристов;28К1;Отрадное;
Ольга Надолинская;realtor;https://www.cian.ru/rent/flat/302373611/;Москва;rent;flat;6;17;1;48.0;45000;0;; Татьянин Парк;16к1;Говорово;
Ольга Надолинская;realtor;https://www.cian.ru/rent/flat/302373740/;Москва;rent;flat;6;17;1;48.0;45000;0;; Татьянин Парк;16к1;Говорово;
